"","CO_ENTIDADE","NO_ENTIDADE","TP_SITUACAO_FUNCIONAMENTO","DT_ANO_LETIVO_TERMINO","CO_REGIAO","TP_LOCALIZACAO","IN_CONVENIADA_PP","IN_LOCAL_FUNC_SALAS_EMPRESA","IN_AGUA_CACIMBA","IN_AGUA_FONTE_RIO","IN_ENERGIA_INEXISTENTE","IN_LIXO_COLETA_PERIODICA","IN_SALA_DIRETORIA","IN_LABORATORIO_CIENCIAS","IN_SALA_ATENDIMENTO_ESPECIAL","IN_QUADRA_ESPORTES_COBERTA","IN_QUADRA_ESPORTES_DESCOBERTA","IN_QUADRA_ESPORTES","IN_COZINHA","IN_BIBLIOTECA","IN_SALA_LEITURA","IN_BIBLIOTECA_SALA_LEITURA","IN_PARQUE_INFANTIL","IN_BERCARIO","IN_BANHEIRO_FORA_PREDIO","IN_BANHEIRO_DENTRO_PREDIO","IN_BANHEIRO_EI","IN_SECRETARIA","IN_BANHEIRO_CHUVEIRO","IN_REFEITORIO","IN_AUDITORIO","IN_ALOJAM_ALUNO","IN_ALOJAM_PROFESSOR","IN_AREA_VERDE","QT_SALAS_EXISTENTES","IN_INTERNET","IN_BANDA_LARGA","QT_FUNCIONARIOS","IN_ALIMENTACAO","TP_AEE","IN_FUNDAMENTAL_CICLOS","TP_LOCALIZACAO_DIFERENCIADA","IN_MATERIAL_ESP_QUILOMBOLA","IN_MATERIAL_ESP_INDIGENA","IN_EDUCACAO_INDIGENA","TP_INDIGENA_LINGUA","CO_LINGUA_INDIGENA","IN_BRASIL_ALFABETIZADO","IN_FINAL_SEMANA","IN_MEDIACAO_SEMIPRESENCIAL","IN_ESPECIAL_EXCLUSIVA","IN_PROFISSIONALIZANTE","IN_COMUM_CRECHE","IN_COMUM_FUND_AF","IN_COMUM_MEDIO_MEDIO","IN_COMUM_MEDIO_INTEGRADO","IN_COMUM_MEDIO_NORMAL","IN_ESP_EXCLUSIVA_FUND_AF","IN_ESP_EXCLUSIVA_MEDIO_MEDIO","IN_ESP_EXCLUSIVA_MEDIO_INTEGR","IN_ESP_EXCLUSIVA_MEDIO_NORMAL","Endereço","Telefone","Dependência.Administrativa","Categoria.Escola.Privada","Regulamentação.pelo.Conselho.de.Educação","Latitude","Longitude"
"1",43000452,"ESC ENS MEDIO CESI ZONA SUL",1,"21/12/2018",4,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,20,1,1,70,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,1,1,0,0,0,0,0,0,"RUA JOSE BRAULIO DA FONSECA, 44 ESCOLA. ABERTA DOS MORROS. 91787-895 Porto Alegre - RS.","(51) 33461880","Privada","Particular","Sim",-30.16047,-51.18704
"2",43000479,"E E IND ENS FUN TUPE PAN",1,"21/12/2018",4,1,NA,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,2,0,NA,4,1,0,0,2,0,0,1,3,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"R PADRE WERNER S/INF COMUNIDADE, S/INF COMUNIDADE. TRISTEZA. 91920-770 Porto Alegre - RS.","","Estadual","Não Informado","Sim",NA,NA
"3",43001254,"E E IND ENS FUN PINDO POTY",1,"21/12/2018",4,1,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,NA,3,1,0,0,2,0,0,1,3,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ETR VAREJAO 217, 217 LAMI. 91787-170 Porto Alegre - RS.","","Estadual","Não Informado","Sim",-30.22072,-51.09536
"4",43001831,"EEI PEIXINHOS DO MAR",1,"31/12/2018",4,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,1,5,0,NA,3,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"RUA FRANCISCO PINTO DA FONTOURA, 585 SARANDI. 91110-310 Porto Alegre - RS.","(51) 992456303","Privada","Particular","Sim",-30.00716,-51.10934
"5",43001840,"ESCOLA INFANTIL ARCO IRIS",1,"14/12/2018",4,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,7,1,1,26,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"AVENIDA JUCA BATISTA, 21 IPANEMA. 91760-140 Porto Alegre - RS.","(51) 32461555","Privada","Particular","Sim",-30.1271165,-51.2373036
"6",43001858,"EEI AQUARELA DO SABER",1,"31/12/2018",4,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,7,1,1,11,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"RUA MAESTRO MENDANHA, 240 SANTANA. 90620-160 Porto Alegre - RS.","(51) 32194336","Privada","Particular","Em Tramitação",-30.04889,-51.20554
"7",43001874,"EEI ABC DA INFANCIA",1,"30/12/2018",4,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,1,8,1,1,8,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"RUA FREDERICO ETZBERGER, 301 NONOAI. 91720-510 Porto Alegre - RS.","(51) 30290905","Privada","Particular","Em Tramitação",NA,NA
"8",43001882,"EEI KANGURU FELIZ",1,"21/12/2018",4,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,4,1,1,12,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"RUA LUZITANA, 483 HIGIENOPOLIS. 90520-080 Porto Alegre - RS.","(51) 30137362","Privada","Particular","Em Tramitação",-30.01259,-51.18436
"9",43001912,"VILLA KIDS",1,"20/12/2018",4,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,6,1,1,13,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"RUA REGENTE, 176 PETROPOLIS. 90470-170 Porto Alegre - RS.","(51) 30194019","Privada","Particular","Em Tramitação",-30.0311,-51.18156
"10",43001971,"IEI CRECHE DO CORACAO",1,"31/12/2018",4,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,4,0,NA,8,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"RUA RIO MARIA, 207 CASCATA. 91712-270 Porto Alegre - RS.","(51) 33545892","Privada","Particular","Em Tramitação",-30.09194,-51.1752
